metric,pearson_r_vs_severity,spearman_rho_vs_severity,normalized_std,relative_normalized_std
dnsmos_sig,0.3791,0.2979,0.1275,0.4951
dnsmos_bak,0.8196,0.8764,0.1204,0.4676
dnsmos_ovr,0.7142,0.8212,0.1258,0.4885
nisqa,0.6182,0.6322,0.1855,0.7204
clipping_rate,0.0134,0.0073,0.1808,0.7021
crest_factor_db,0.1404,0.1509,0.2575,1.0
wada_snr_db,0.7986,0.8415,0.0683,0.2652
spectral_flatness,0.153,0.1807,0.1602,0.6221
hf_energy_ratio,0.1185,0.1454,0.2112,0.8202
pitch_confidence,0.5861,0.683,0.1518,0.5895
DNSMOS OVR vs. NISQA,0.5928,0.6486,,
