speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,baseline,,,3.482922834868455,3.771438822245208,3.045501881106674,3.4850003719329834,1.5206812652068127e-05,16.166561126708984,12.548044204711914,0.10571601079337817,0.13050302863121033,0.22263663097254097,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,baseline,,,3.5831104931613895,3.8605109607897807,3.2066012119164715,4.010488510131836,2.1551724137931033e-05,18.7122859954834,18.584501266479492,0.044170771917971315,0.011707426980137825,0.09609834466517089,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,baseline,,,3.6517910835511485,3.685981439535561,3.1947923122215056,3.5714690685272217,7.594167679222357e-06,23.457469940185547,16.66300392150879,0.13982240203401103,0.1566176563501358,0.05108214243901726,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,baseline,,,3.6929318998475034,4.063724966893115,3.402138018363128,3.946892023086548,5.846585594013096e-06,25.22285270690918,15.804768562316895,0.2323354152910111,0.12274019420146942,0.044833089396880764,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,baseline,,,3.653099162352488,3.640402352002552,3.1569056972772978,3.7121222019195557,4.092992796332678e-06,22.658632278442383,17.508533477783203,0.17379876568272695,0.20442341268062592,0.11323506017925214,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,baseline,,,3.6497631596547864,3.9715607007385394,3.3044493877944907,3.1763951778411865,1.1301989150090416e-05,17.77769660949707,12.607534408569336,0.034854930228456246,0.010987740010023117,0.05292952963987683,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,baseline,,,3.5364501377630533,4.026530396021386,3.2615771134559837,3.780988931655884,8.3500334001336e-06,24.475200653076172,13.961708068847656,0.042751189804606085,0.020780550315976143,0.0196188523367297,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,baseline,,,3.6160200466508186,3.720473713081044,3.1274875390613803,4.30814790725708,1.156336725254394e-05,19.67498779296875,10.939541816711426,0.034616624742478085,0.018216431140899658,0.0771054542513919,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,baseline,,,3.5668814880620374,3.52340817146317,2.9966240093399925,3.412778377532959,1.1415525114155251e-05,20.200557708740234,11.74314022064209,0.08900268964799705,0.03735754266381264,0.08342039266298083,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,baseline,,,3.7283752835171056,4.107022777357022,3.483947598402998,4.447455883026123,9.541984732824428e-06,20.53118133544922,11.425938606262207,0.03711163982636836,0.025017663836479187,0.046694806438027855,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123440/260-123440-0008.flac,baseline,,,3.6230262252011904,4.071470560316143,3.3114280533220395,4.329448699951172,1.6688918558077437e-05,14.85727310180664,14.25257682800293,0.007580248708990478,0.003198587102815509,0.21008991753900216,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123286/260-123286-0014.flac,baseline,,,3.4965292443366542,4.128541698423565,3.243687004332669,4.780888557434082,2.0973154362416106e-05,15.99642562866211,18.666160583496094,0.04291178728554115,0.018636230379343033,0.10023965124717185,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123288/260-123288-0021.flac,baseline,,,3.5360091765460857,4.012450270313636,3.1955198445148607,4.638221263885498,2.3062730627306272e-05,15.77302074432373,18.30684471130371,0.017179397272501302,0.005664314609020948,0.152468775701119,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123286/260-123286-0023.flac,baseline,,,3.6448905424913995,4.164719642091777,3.3982573889762517,4.453153133392334,1.0638297872340426e-05,17.172882080078125,17.809818267822266,0.03997040991434558,0.012014579959213734,0.07253806001374097,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123440/260-123440-0011.flac,baseline,,,3.6753712310614532,4.200724963663982,3.4384752732461994,3.4963080883026123,1.2833675564681725e-05,15.825057983398438,14.011384010314941,0.012954169659969768,0.003602266777306795,0.2756044576557914,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/75918/6930-75918-0000.flac,baseline,,,3.7276954315045705,4.163010824234973,3.5055960918731737,3.7668001651763916,1.783166904422254e-05,19.89714813232422,15.783499717712402,0.1296263333136238,0.1996036171913147,0.054937422970483034,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/81414/6930-81414-0015.flac,baseline,,,3.7270151746414926,4.0301772937354565,3.410523647402523,3.246227502822876,1.675603217158177e-05,20.898906707763672,12.98209285736084,0.09941372100058167,0.09384234249591827,0.010007822249302058,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/81414/6930-81414-0006.flac,baseline,,,3.565976512183799,3.3504211887970534,2.9310570036152908,3.0981147289276123,9.191176470588234e-06,22.569246292114258,12.755327224731445,0.093730173742639,0.2776848077774048,0.17879316614094834,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/76324/6930-76324-0026.flac,baseline,,,3.2970124834758945,3.4849513832685375,2.867039383723379,2.5276248455047607,2.025931928687196e-05,23.265932083129883,15.088438987731934,0.09365792123974306,0.11783116310834885,0.01000000343996422,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/75918/6930-75918-0013.flac,baseline,,,3.306360596425762,3.763372848994238,2.9164032373039026,3.11729097366333,2.1258503401360543e-05,22.207027435302734,12.674734115600586,0.10624899121288724,0.17385119199752808,0.010981960008421589,,
5105,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/5105/28241/5105-28241-0008.flac,baseline,,,3.737862289298687,4.223728074661182,3.531156473908062,4.417602062225342,7.318501170960187e-06,23.468292236328125,17.873098373413086,0.04202641628519853,0.022323595359921455,0.035855971227230846,,
5105,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/5105/28241/5105-28241-0003.flac,baseline,,,3.5234969724234326,3.9497091379746156,3.2085211994408103,4.560547351837158,1.57035175879397e-05,21.151437759399414,15.923138618469238,0.12365327106541958,0.20374301075935364,0.11763571147632784,,
5105,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/5105/28241/5105-28241-0018.flac,baseline,,,3.6657102254599656,4.147962001952923,3.414974948792136,4.502536296844482,4.871395167575994e-06,21.78453254699707,18.000865936279297,0.10103525383797882,0.034939851611852646,0.08783154374235133,,
5105,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/5105/28233/5105-28233-0005.flac,baseline,,,3.6780343133067106,4.101523500096075,3.40682077305501,4.415968894958496,5.487269534679544e-06,25.244178771972656,16.093570709228516,0.08189475613385443,0.020766716450452805,0.06130645833959938,,
5105,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/5105/28240/5105-28240-0001.flac,baseline,,,3.7013965850361528,4.08184160139901,3.426962911572241,4.174776554107666,3.890445066915655e-06,24.191192626953125,13.571502685546875,0.060810262982762944,0.020610688254237175,0.08413891947158395,,
4507,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/4507/16021/4507-16021-0042.flac,baseline,,,3.599308804292955,4.087566503579343,3.3090548383491285,3.9486377239227295,6.024096385542168e-06,17.386310577392578,16.335857391357422,0.03389401922168376,0.025950726121664047,0.2650631474850047,,
4507,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/4507/16021/4507-16021-0054.flac,baseline,,,3.617173392728815,4.143348387464583,3.35683642546707,4.1365790367126465,1.4484356894553882e-05,16.801366806030273,21.45983123779297,0.04495852723842479,0.017135048285126686,0.2751926483727799,,
4507,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/4507/16021/4507-16021-0048.flac,baseline,,,3.4554181151140555,3.7225116036737047,2.999758248821541,3.6937460899353027,1.1984659635666346e-05,19.759918212890625,19.69637680053711,0.018762968555081323,0.009683421812951565,0.39280527686404165,,
4507,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/4507/16021/4507-16021-0029.flac,baseline,,,3.5120771680981506,4.026634850005834,3.1914105539905733,4.050933837890625,1.614987080103359e-05,18.152639389038086,19.956424713134766,0.007519463025904357,0.0024755862541496754,0.39443565632014854,,
4507,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/4507/16021/4507-16021-0000.flac,baseline,,,3.543379773899094,4.016513112831813,3.203475552966798,2.8592708110809326,2.413127413127413e-05,17.184627532958984,31.239660263061523,0.00691569060918995,0.00925413891673088,0.34328689523290407,,
3575,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/3575/170457/3575-170457-0049.flac,baseline,,,3.5692600732923316,3.8600216064959465,3.1754620966972835,4.582025051116943,2.302025782688766e-05,14.797640800476074,14.58011531829834,0.06842320273383587,0.07107435911893845,0.2910543003462273,,
3575,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/3575/170457/3575-170457-0026.flac,baseline,,,3.6771754843327558,4.061467141218562,3.373073442830041,4.389929294586182,3.7346877801015835e-06,20.04253578186035,13.883825302124023,0.07162343967778538,0.031079202890396118,0.19491248666431166,,
3575,F,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/3575/170457/3575-170457-0004.flac,baseline,,,3.6139451357373855,4.158353420199175,3.3586497672467246,4.696783065795898,2.0128824476650564e-05,18.40559196472168,16.489315032958984,0.0560434201386607,0.06686095148324966,0.2423062703033944,,
