speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,clipping,threshold,0.05,3.253819071569676,2.1820394879353473,2.108874073573032,1.122424840927124,0.5152372262773722,1.9332859516143799,3.3299965858459473,0.17105616310131222,0.10811380296945572,0.08845819251955596,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,clipping,threshold,0.05,3.4857706849981858,2.632773127859089,2.450462445131621,2.160648822784424,0.3367241379310345,3.629910945892334,8.256124496459961,0.1442888562317583,0.0736636072397232,0.035717906108853066,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,clipping,threshold,0.05,3.5813660242550434,3.1246746400848195,2.8041033033502036,1.7404534816741943,0.2576549210206561,4.353714942932129,9.688070297241211,0.1408948227490062,0.10090325772762299,0.046194038673875615,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,clipping,threshold,0.05,3.6928309247562883,3.6202108413024945,3.2010306647327993,2.9524550437927246,0.13414990645463049,5.9078168869018555,8.748067855834961,0.19608328879118314,0.1274871975183487,0.03719203441197227,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,clipping,threshold,0.05,3.5987030892603062,2.9553329345113646,2.737336291335629,1.5944900512695312,0.2580672888015717,4.415885925292969,9.933429718017578,0.1986458742391474,0.145503968000412,0.07642202255824421,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,clipping,threshold,0.05,2.149485648492252,1.358642348428536,1.4127507708050473,1.204694390296936,0.44957052441229656,2.2784342765808105,3.5947437286376953,0.08391289962292549,0.03159250691533089,0.019643669852812302,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,clipping,threshold,0.05,3.6315681449257182,3.282033563627386,2.9430152505751552,1.659916877746582,0.18394288577154308,5.1579999923706055,7.456038475036621,0.07624954719517796,0.055563848465681076,0.014722143377060097,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,clipping,threshold,0.05,3.5956782525534483,2.9127046600713857,2.699695488769063,1.4395582675933838,0.42096438482886217,2.65230655670166,4.170291423797607,0.08634846350505115,0.0602077879011631,0.03536236143498047,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,clipping,threshold,0.05,3.551897963419602,2.7254105749668525,2.593679086289279,1.2043377161026,0.3707077625570776,3.007847309112549,4.940613746643066,0.1503071365474768,0.0738365426659584,0.04274869414799185,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,clipping,threshold,0.05,3.6527265344159137,3.0531281508575305,2.8374109744387517,1.5503308773040771,0.3608969465648855,3.125734329223633,4.83344030380249,0.09201533580690076,0.06891114264726639,0.024194313475416108,,
